station,province,rows,cgn_id,cgn_name,cgn_concise,cgn_lat,cgn_lon,hr_lat,hr_lon,csd_id,wikidata_qid,coord_source
Congress,SASKATCHEWAN,62,HAPES,Congress,HAM,49.7541000,-106.0208417,,,SK173029,Q5160771,cgn_direct
Lipsett,SASKATCHEWAN,62,HAUTX,Lipsett,UNP,52.7833450,-104.6838278,,,,,cgn_direct
Lucky Lake,SASKATCHEWAN,62,HAHDT,Lucky Lake,VILG,50.9852656,-107.1330389,50.9833,-107.1333,SK177042,Q2085945,cgn_direct
Darmody,SASKATCHEWAN,62,HAFUZ,Darmody,UNP,50.7134550,-106.2816570,,,,,cgn_direct
Spirit River,ALBERTA,62,IAKPR,Spirit River,TOWN,55.7786111,-118.8366667,55.7833,-118.8333,AB204026,Q1744192,cgn_direct
Frontier,SASKATCHEWAN,62,HAPGO,Frontier,VILG,49.2045194,-108.5617972,,,SK174003,Q5506025,cgn_direct
Souris,MANITOBA,61,GAZUK,Souris,TOWN,49.6172220,-100.2602800,46.35,-62.25,MB162011,Q487130,cgn_direct
Killaley,SASKATCHEWAN,61,HAEQO,Killaly,,50.7540222,-102.8311861,,,,,agent_high
Brocket,ALBERTA,61,IAIDD,Brocket,UNP,49.5466667,-113.7497222,49.5667,-113.7333,,,cgn_direct
Strathmore,ALBERTA,61,IALTU,Strathmore,TOWN,51.0455556,-113.3930556,51.05,-113.3833,AB194030,Q1018325,cgn_direct
Lumsden,SASKATCHEWAN,61,HAHDX,Lumsden,TOWN,50.6470833,-104.8703528,50.65,-104.8667,SK176026,Q1915278,cgn_direct
Netherhill,SASKATCHEWAN,61,HAMDT,Netherhill,VILG,51.4683870,-108.8584540,,,SK183048,Q2201233,cgn_direct
Fenwood,SASKATCHEWAN,61,HABHM,Fenwood,VILG,51.0121333,-103.0461222,,,SK175038,Q2003267,cgn_direct
Young,SASKATCHEWAN,61,HATYM,Young,VILG,51.7652300,-105.7444680,51.7833,-105.75,SK181054,Q2205395,cgn_direct
Cedoux,SASKATCHEWAN,61,HACGB,Cedoux,UNP,49.8825080,-103.8604270,,,,,cgn_direct
Swalwell,ALBERTA,61,IAMQB,Swalwell,UNP,51.5572222,-113.3183333,,,,,cgn_direct
Canwood,SASKATCHEWAN,61,HABQO,Canwood,VILG,53.3593400,-106.6034170,,,SK186012,Q5034157,cgn_direct
Krydor,SASKATCHEWAN,61,HAFFW,Krydor,VILG,52.7874167,-107.0748056,,,SK186034,Q2004313,cgn_direct
Smoky Lake,ALBERTA,61,IAJND,Smoky Lake,TOWN,54.1100000,-112.4758333,,,AB202001,Q1744205,cgn_direct
Kelvington,SASKATCHEWAN,61,HAQOZ,Kelvington,TOWN,52.1629500,-103.5257472,52.1667,-103.5333,SK184005,Q6386772,cgn_direct
La Fleche,SASKATCHEWAN,61,HAFHX,Lafleche,TOWN,49.7053778,-106.5758361,,,,,cgn_direct
Bredenbury,SASKATCHEWAN,60,HAKJU,Bredenbury,TOWN,50.9412528,-102.0440444,50.95,-102.05,SK175020,Q1910039,cgn_direct
Churchbridge,MANITOBA,60,HAQCD,Churchbridge,TOWN,50.8948278,-101.8932528,,,SK175015,Q5118108,cgn_direct
Nokomis,SASKATCHEWAN,60,HATOI,Nokomis,TOWN,51.5108167,-105.0068306,51.5,-105.0,SK181025,Q1878805,cgn_direct
Coaldale,ALBERTA,60,IANEO,Coaldale,TOWN,49.7277777,-112.6186111,,,AB190029,Q2651028,cgn_direct
Ohaton,ALBERTA,60,IANAL,Ohaton,UNP,52.9694444,-112.6561111,,,AB196048,Q7080623,cgn_direct
Miami,MANITOBA,60,GARDJ,Miami,UNP,49.3711110,-98.2438890,,,,,cgn_direct
Fielding,SASKATCHEWAN,60,HATUS,Fielding,UNP,52.5190460,-107.5440190,,,SK186032,Q14874946,cgn_direct
Bruce,ALBERTA,60,IAJHO,Bruce,UNP,53.1738889,-112.0386111,,,ON104005,Q115260952,cgn_direct
Stavely,ALBERTA,60,IAKTN,Stavely,TOWN,50.1611111,-113.6416667,,,AB192021,Q3512252,cgn_direct
Dalmeny,SASKATCHEWAN,60,HAFUS,Dalmeny,TOWN,52.3395639,-106.7714139,52.3333,-106.7667,SK185036,Q1425657,cgn_direct
D'Arcy,SASKATCHEWAN,60,HAPFE,D'Arcy,UNP,51.4650200,-108.5396170,,,,,cgn_direct
Enchant,ALBERTA,60,IACQG,Enchant,UNP,50.1700000,-112.4225000,,,AB191027,Q5375349,cgn_direct
Heisler,ALBERTA,60,IAJSH,Heisler,VILG,52.6686111,-112.2227778,,,AB196044,Q5701070,cgn_direct
Kelsey,ALBERTA,60,IAQDR,Kelsey,UNP,52.8458333,-112.5488889,56.0397,-96.5414,,,cgn_direct
Darlingford,MANITOBA,59,GAGCY,Darlingford,UNP,49.2038890,-98.3780560,,,,,cgn_direct
Mather,MANITOBA,59,GAQKJ,Mather,UNP,49.0988890,-99.1911110,,,ON141022,Q115262175,cgn_direct
Stockholm,SASKATCHEWAN,59,HAJXA,Stockholm,VILG,50.6574520,-102.3026020,,,SK175050,Q2204842,cgn_direct
Langdon,ALBERTA,59,IACHM,Langdon,UNP,50.9688889,-113.6775000,50.9667,-113.6667,AB194039,Q6485781,cgn_direct
Pincher,ALBERTA,59,IABJW,Pincher,UNP,49.5238889,-113.9480556,,,,,cgn_direct
Edam,SASKATCHEWAN,59,HAHSO,Edam,VILG,53.1878889,-108.7675703,0.0,0.0,SK187024,Q2002809,cgn_direct
St. Gregor,SASKATCHEWAN,59,HAHFS,St. Gregor,VILG,52.1808070,-104.8309910,,,SK185049,Q2204760,cgn_direct
Chamberlain,SASKATCHEWAN,59,HACGP,Chamberlain,VILG,50.8514600,-105.5686510,,,SK176038,Q1999571,cgn_direct
Broadacres,SASKATCHEWAN,59,HAKLG,Broadacres,UNP,52.0453350,-108.9787190,,,,,cgn_direct
Carlton,SASKATCHEWAN,59,HAQMO,Carlton,UNP,52.8129740,-106.4883110,52.8333,-106.5,,,cgn_direct
Ridgedale,SASKATCHEWAN,59,HAJCQ,Ridgedale,VILG,53.0565222,-104.1545083,53.0667,-104.15,,,cgn_direct
Spring Valley,SASKATCHEWAN,59,HAWQC,Spring Valley,UNP,49.9434190,-105.4031270,,,SK173044,Q7580716,cgn_direct
Nemiscam,ALBERTA,59,IANNT,Nemiskam,,49.4800000,-111.2761111,,,,,agent_high
Coleville,SASKATCHEWAN,59,HADQO,Coleville,VILG,51.7096000,-109.2452860,,,,,cgn_direct
Dominion City,MANITOBA,58,GAGTE,Dominion City,UNP,49.1419440,-97.1555560,,,,,cgn_direct
Morris,MANITOBA,58,GASCI,Morris,TOWN,49.3550000,-97.3650000,49.355,-97.365,MB156004,Q1660794,cgn_direct
Walsh,ALBERTA,58,IAORE,Walsh,UNP,49.9472223,-110.0425000,,,AB189030,Q7963806,cgn_direct
Watson,SASKATCHEWAN,58,HAJRH,Watson,TOWN,52.1294167,-104.5188444,52.1167,-104.5167,SK180019,Q1917538,cgn_direct
Melville,SASKATCHEWAN,58,HALKT,Melville,CITY,50.9304306,-102.8078417,0.0,0.0,SK175025,Q605427,cgn_direct
Sturgis,SASKATCHEWAN,58,HAMWA,Sturgis,TOWN,51.9404778,-102.5441722,51.9333,-102.5333,SK179036,Q1917290,cgn_direct
Torquay,SASKATCHEWAN,58,HAOPQ,Torquay,VILG,49.1420050,-103.4943540,,,,,cgn_direct
Minburn,ALBERTA,58,IAKBB,Minburn,UNP,53.3155556,-111.3641667,,,AB198032,Q6863303,cgn_direct
Bechard,SASKATCHEWAN,58,HAKHR,Bechard,UNP,50.0500334,-104.2172181,,,,,cgn_direct
Franklin,MANITOBA,57,GAITV,Franklin,UNP,50.2441670,-99.6647220,,,MB156002,Q1659670,cgn_direct
Miniota,MANITOBA,57,GARIX,Miniota,UNP,50.1433330,-101.0330600,50.1433,-101.0331,MB165008,Q1660702,cgn_direct
Solsgirth,MANITOBA,57,GAZTH,Solsgirth,UNP,50.4902780,-100.9138900,50.4903,-100.9139,,,cgn_direct
Thornhill,MANITOBA,57,GBBSW,Thornhill,UNP,49.2002780,-98.2316670,,,,,cgn_direct
Millet,ALBERTA,57,IAKAM,Millet,TOWN,53.0961111,-113.4727778,,,AB196045,Q1911758,cgn_direct
Taber,ALBERTA,57,IAAFM,Taber,TOWN,49.7847500,-112.1509720,,,AB189026,Q1746037,cgn_direct
Altamont,MANITOBA,57,GAAPS,Altamont,UNP,49.3986110,-98.4972220,,,,,cgn_direct
Fairfax,MANITOBA,57,GAHXX,Fairfax,UNP,49.4350000,-100.1283300,0.0,0.0,,,cgn_direct
Homewood,MANITOBA,57,GALBD,Homewood,UNP,49.5086110,-97.8641670,,,,,cgn_direct
Gerald,MANITOBA,57,HAFBG,Gerald,VILG,50.6653583,-101.7939667,,,,,cgn_direct
Dummer,SASKATCHEWAN,57,HAGXJ,Dummer,UNP,49.8436456,-104.8374995,,,ON138008,Q115261330,cgn_direct
Radville,SASKATCHEWAN,57,HAIIY,Radville,TOWN,49.4609861,-104.2973611,49.45,-104.2833,SK172024,Q1916667,cgn_direct
Hodgeville,SASKATCHEWAN,57,HAFNS,Hodgeville,VILG,50.1145111,-106.9643194,,,SK177039,Q2003868,cgn_direct
Parkside,SASKATCHEWAN,57,HAGNY,Parkside,VILG,53.1660111,-106.5339317,,,SK186038,Q2202074,cgn_direct
Paynton,SASKATCHEWAN,57,HAGQN,Paynton,VILG,53.0125380,-108.9359260,,,SK187003,Q7156866,cgn_direct
Etzikom,ALBERTA,57,IADBE,Etzikom,UNP,49.4769444,-111.1072222,,,,,cgn_direct
Gibbons,ALBERTA,57,IAASX,Gibbons,TOWN,53.8297222,-113.3283333,,,ON130039,Q115261564,cgn_direct
Rosebud,ALBERTA,57,IAFPV,Rosebud,UNP,51.2997222,-112.9511111,,,AB194041,Q7368087,cgn_direct
Snowflake,MANITOBA,56,GAZRS,Snowflake,UNP,49.0475000,-98.6591670,49.0475,-98.6592,,,cgn_direct
Bassano,ALBERTA,56,IADLQ,Bassano,TOWN,50.7875000,-112.4683333,50.7833,-112.4667,AB191021,Q773061,cgn_direct
Stettler,ALBERTA,56,IAKUR,Stettler,TOWN,52.3238889,-112.7044444,52.3167,-112.7167,AB196030,Q1746019,cgn_direct
Belmont,MANITOBA,56,GACDW,Belmont,UNP,49.4094440,-99.4563890,0.0,0.0,ON138003,Q115260827,cgn_direct
Elphinstone,MANITOBA,56,GAHSL,Elphinstone,UNP,50.5311110,-100.3219400,,,,,cgn_direct
Lowe Farm,MANITOBA,56,GAPNX,Lowe Farm,UNP,49.3547220,-97.5888890,,,,,cgn_direct
North Battleford,SASKATCHEWAN,56,HAMHJ,North Battleford,CITY,52.7574361,-108.2861667,52.7833,-108.2833,SK186006,Q14875003,cgn_direct
Candiac,SASKATCHEWAN,56,HABXF,Candiac,HAM,50.2090580,-103.2575790,,,,,cgn_direct
Rumsey,ALBERTA,56,IAFTN,Rumsey,UNP,51.8419444,-112.8425000,,,AB193035,Q7379402,cgn_direct
Tribune,SASKATCHEWAN,56,HAOPO,Tribune,VILG,49.2478500,-103.8252667,49.25,-103.8167,SK172046,Q2205030,cgn_direct
Viceroy,SASKATCHEWAN,56,HAJLL,Viceroy,HAM,49.4601850,-105.3688410,0.0,0.0,SK173048,Q7925236,cgn_direct
Runnymede,MANITOBA,56,HAPJM,Runnymede,HAM,51.4815750,-101.7014310,,,,,cgn_direct
Eskbank,SASKATCHEWAN,56,HAIPH,Eskbank,UNP,50.6699680,-106.1431090,,,,,cgn_direct
Bindloss,ALBERTA,56,IAGDM,Bindloss,UNP,50.8800000,-110.2736111,,,,,cgn_direct
Stanmore,ALBERTA,56,IAKSY,Stanmore,UNP,51.5797222,-111.5125000,,,,,cgn_direct
Fox Valley,SASKATCHEWAN,56,HACEN,Fox Valley,VILG,50.4663028,-109.4823722,50.4667,-109.4833,,,cgn_direct
Kelloe,MANITOBA,55,GANEC,Kelloe,UNP,50.4769440,-100.7661100,,,,,cgn_direct
Oak River,MANITOBA,55,GATWX,Oak River,UNP,50.1358330,-100.4300000,,,,,cgn_direct
Colonsay,SASKATCHEWAN,55,HADRE,Colonsay,TOWN,51.9764889,-105.8722444,51.9833,-105.8833,SK181017,Q5148474,cgn_direct
Fairlight,MANITOBA,55,HABFQ,Fairlight,VILG,49.8758510,-101.6794080,,,SK171030,Q2003251,cgn_direct
Saskatoon,SASKATCHEWAN,55,HAHJJ,Saskatoon,CITY,52.1396500,-106.6861833,52.1167,-106.6333,SK181020,Q10566,cgn_direct
Camrose,ALBERTA,55,IAKKF,Camrose,CITY,53.0247222,-112.8241667,53.0167,-112.8333,AB196025,Q775610,cgn_direct
Clive,ALBERTA,55,IANDV,Clive,VILG,52.4752777,-113.4483332,,,AB196037,Q5134467,cgn_direct
Rosebank,MANITOBA,55,GAXMB,Rosebank,UNP,49.3705560,-98.1133330,,,,,cgn_direct
Goodwater,SASKATCHEWAN,55,HAPOQ,Goodwater,VILG,49.3944944,-103.7048750,49.4,-103.7,SK172035,Q2003699,cgn_direct
Swanson,SASKATCHEWAN,55,HAMXB,Swanson,UNP,51.6962860,-107.1420710,,,SK182044,Q7653730,cgn_direct
Spruce Grove,ALBERTA,55,IAKRM,Spruce Grove,CITY,53.5538889,-113.9022222,53.5333,-113.9167,AB199008,Q1013456,cgn_direct
Clavet,SASKATCHEWAN,55,HADAZ,Clavet,VILG,51.9962920,-106.3771610,,,SK181033,Q1999660,cgn_direct
Otthon,SASKATCHEWAN,55,HANHF,Otthon,UNP,51.0967560,-102.5968050,,,SK175047,Q7109471,cgn_direct
Venn,SASKATCHEWAN,55,HATOM,Venn,UNP,51.6114670,-105.2996630,,,SK181052,Q7920125,cgn_direct
Birtle,MANITOBA,55,GACVX,Birtle,TOWN,50.4225000,-101.0475000,,,MB165002,Q1658106,cgn_direct
Horizon,SASKATCHEWAN,55,HAFPW,Horizon,UNP,49.5166969,-105.2172130,,,SK172038,Q5903319,cgn_direct
Renown,SASKATCHEWAN,55,HATNY,Renown,UNP,51.6333679,-105.5505919,,,,,cgn_direct
Browning,SASKATCHEWAN,55,HAPNM,Browning,UNP,49.4383890,-102.6300250,,,SK171009,Q4976572,cgn_direct
St. Boniface,MANITOBA,55,GAXWT,St. Boniface,UNP,49.8750000,-97.0797220,,,MB160012,Q1004192,cgn_direct
Mossbank,SASKATCHEWAN,55,HALWE,Mossbank,TOWN,49.9396278,-105.9631667,,,SK173039,Q1915513,cgn_direct
Prince,SASKATCHEWAN,55,HAIFZ,Prince,HAM,52.9621944,-108.3682631,,,ON102073,Q115262623,cgn_direct
Hoey,SASKATCHEWAN,55,HAFNV,Hoey,HAM,52.8673361,-105.7949806,,,,,cgn_direct
Mawer,SASKATCHEWAN,55,HALBK,Mawer,UNP,50.7486360,-106.3907340,50.75,-106.4,SK177044,Q6794393,cgn_direct
Vermilion,ALBERTA,55,IAOMB,Vermilion,TOWN,53.3547222,-110.8527778,,,AB198022,Q3845986,cgn_direct
Gladstone,MANITOBA,54,GAJGA,Gladstone,TOWN,50.2258330,-98.9500000,50.2258,-98.95,MB164009,Q63761,cgn_direct
Lenore,MANITOBA,54,GAOLT,Lenore,UNP,49.9583330,-100.7516700,49.9583,-100.7517,,,cgn_direct
Pitman,SASKATCHEWAN,54,HAHNZ,Pitman,UNP,50.2494950,-105.0304960,,,,,cgn_direct
Amisk,ALBERTA,54,IABHQ,Amisk,VILG,52.5655555,-111.0572222,,,,,cgn_direct
Raley,ALBERTA,54,IAEGP,Raley,UNP,49.2902778,-113.1830556,0.0,0.0,,,cgn_direct
Vibank,SASKATCHEWAN,54,HAJLI,Vibank,VILG,50.3340230,-103.9457350,,,SK176067,Q2205168,cgn_direct
Punnichy,SASKATCHEWAN,54,HATOZ,Punnichy,VILG,51.3715167,-104.2976028,,,SK180035,Q2202338,cgn_direct
Quinton,SASKATCHEWAN,54,HATPA,Quinton,VILG,51.3871090,-104.4102970,,,SK180037,Q2202376,cgn_direct
Oakville,MANITOBA,54,GATXE,Oakville,UNP,49.9294440,-98.0038890,,,ON117008,Q424984,cgn_direct
Edberg,ALBERTA,54,IACEN,Edberg,VILG,52.7847222,-112.7891667,,,,,cgn_direct
Dewar Lake,SASKATCHEWAN,54,HAFZC,Dewar Lake,UNP,51.6321760,-109.6372090,51.6333,-109.6333,,,cgn_direct
Loverna,SASKATCHEWAN,54,HAHCZ,Loverna,HAM,51.6585650,-109.9857970,51.6667,-110.0,SK183044,Q6692384,cgn_direct
Rowatt,SASKATCHEWAN,54,HAJIS,Rowatt,UNP,50.3333727,-104.6172153,,,,,cgn_direct
Fleet,ALBERTA,54,IAFBQ,Fleet,UNP,52.1533333,-111.7300000,,,,,cgn_direct
Richdale,ALBERTA,54,IAENC,Richdale,UNP,51.6102778,-111.6041667,,,AB193034,Q7330380,cgn_direct
Battrum,SASKATCHEWAN,54,HAKEQ,Battrum,UNP,50.5500437,-108.3340289,,,,,cgn_direct
Marwayne,ALBERTA,54,IAHTE,Marwayne,VILG,53.5175000,-110.3300000,,,,,cgn_direct
Arden,MANITOBA,53,GAAZA,Arden,UNP,50.2772220,-99.2697220,,,,,cgn_direct
Elva,MANITOBA,53,GAHSS,Elva,UNP,49.2161110,-101.1152800,,,,,cgn_direct
Sinclair,MANITOBA,53,GAZIK,Sinclair,UNP,49.5691670,-101.2877800,,,,,cgn_direct
Halbrite,SASKATCHEWAN,53,HAEJL,Halbrite,VILG,49.4881833,-103.5591750,,,SK172037,Q2003757,cgn_direct
Orcadia,SASKATCHEWAN,53,HAPBV,Orcadia,UNP,51.2756070,-102.6091400,,,,,cgn_direct
Rokeby,SASKATCHEWAN,53,HAJGH,Rokeby,UNP,51.1333330,-102.3338078,,,,,cgn_direct
Margaret,MANITOBA,53,GAQDP,Margaret,UNP,49.4055560,-99.8558330,,,,,cgn_direct
Findlater,SASKATCHEWAN,53,HABPJ,Findlater,VILG,50.7888710,-105.4014710,,,SK176047,Q2003289,cgn_direct
Hearne,SASKATCHEWAN,53,HAEYP,Hearne,UNP,50.1000338,-105.1338927,,,,,cgn_direct
Wordsworth,SASKATCHEWAN,53,HANOC,Wordsworth,UNP,49.5495580,-102.3676900,,,,,cgn_direct
Pierson,MANITOBA,53,GAVNW,Pierson,UNP,49.1800000,-101.2625000,,,,,cgn_direct
Fairmount,SASKATCHEWAN,53,HAQXZ,Fairmount,UNP,51.4167216,-109.3007465,,,,,cgn_direct
Pambrum,SASKATCHEWAN,53,HAPCC,Pambrun,,49.9353870,-107.4571150,,,,,agent_high
Ardill,SASKATCHEWAN,53,HAOPZ,Ardill,UNP,49.9392331,-105.8419943,,,SK173028,Q4788066,cgn_direct
Marsden,SASKATCHEWAN,53,HAKZF,Marsden,VILG,52.8414944,-109.8238361,,,,,cgn_direct
Arrow River,MANITOBA,52,GABBK,Arrow River,UNP,50.1438890,-100.8933300,,,,,cgn_direct
Starbuck,MANITOBA,52,GBAJK,Starbuck,UNP,49.7722220,-97.6172220,,,,,cgn_direct
Blucher,SASKATCHEWAN,52,HATVW,Blucher,UNP,52.0167038,-106.2005986,,,SK181018,Q4928673,cgn_direct
Froude,SASKATCHEWAN,52,HAOOZ,Froude,UNP,49.6730090,-103.2809090,,,,,cgn_direct
Purple Springs,ALBERTA,52,IADQY,Purple Springs,UNP,49.8155555,-111.8925000,,,,,cgn_direct
Spring Coulee,ALBERTA,52,IAKQL,Spring Coulee,UNP,49.3344444,-113.0516667,49.3333,-113.05,,,cgn_direct
Sifton,MANITOBA,52,GAZFG,Sifton,UNP,51.3602780,-100.1425000,51.3603,-100.1425,MB162004,Q1661326,cgn_direct
New Norway,ALBERTA,52,IANOX,New Norway,HAM,52.8688890,-112.9511110,,,AB196047,Q829541,cgn_direct
Expanse,SASKATCHEWAN,52,HAIQR,Expanse,UNP,49.9833617,-105.8505771,0.0,0.0,SK173031,Q5420771,cgn_direct
Woolford,ALBERTA,52,IAAAN,Woolford,UNP,49.1850000,-113.1652778,49.1833,-113.1333,,,cgn_direct
Meeting Creek,ALBERTA,52,IAIUS,Meeting Creek,UNP,52.6819445,-112.7316667,,,,,cgn_direct
Southfork,SASKATCHEWAN,52,HAOOI,South Fork,UNP,49.5937310,-108.7193460,,,,,cgn_direct
Storthoaks,MANITOBA,52,HAJYE,Storthoaks,VILG,49.3897730,-101.5985970,,,SK171006,Q7620349,cgn_direct
Anerley,SASKATCHEWAN,52,HAQZG,Anerley,UNP,51.3667068,-107.3173173,,,,,cgn_direct
Englefeld,SASKATCHEWAN,52,HAHXA,Englefeld,VILG,52.1620389,-104.6553444,,,SK185039,Q2003183,cgn_direct
Jenner,ALBERTA,52,IAMDC,Jenner,UNP,50.7466666,-111.1844444,,,AB191028,Q6177806,cgn_direct
Manyberries,ALBERTA,52,IAGUK,Manyberries,UNP,49.4005555,-110.6947222,49.4,-110.7,,,cgn_direct
Climax,SASKATCHEWAN,52,HAURC,Climax,VILG,49.2063900,-108.3858670,49.2,-108.3833,,,cgn_direct
Fannystelle,MANITOBA,51,GAHZY,Fannystelle,UNP,49.7447220,-97.7777780,,,,,cgn_direct
Neepawa,MANITOBA,51,GASYI,Neepawa,TOWN,50.2288890,-99.4655560,50.2289,-99.4656,MB164010,Q2450886,cgn_direct
Erskine,ALBERTA,51,IADAH,Erskine,UNP,52.3211111,-112.8797222,,,AB196040,Q5395810,cgn_direct
Whitla,ALBERTA,51,IAPEL,Whitla,UNP,49.8811111,-111.0533333,,,,,cgn_direct
Eden,MANITOBA,51,GAHKT,Eden,UNP,50.3763890,-99.4694440,,,,,cgn_direct
Letellier,MANITOBA,51,GAOMY,Letellier,UNP,49.1358330,-97.3030560,,,,,cgn_direct
Naisberry,SASKATCHEWAN,51,HAUTP,Naisberry,UNP,52.8670510,-104.4735900,0.0,0.0,,,cgn_direct
Tilney,SASKATCHEWAN,51,HANRV,Tilney,UNP,50.2272790,-105.3935270,,,,,cgn_direct
Willmar,SASKATCHEWAN,51,HAPNO,Willmar,UNP,49.4865510,-102.4709290,,,,,cgn_direct
Birmingham,SASKATCHEWAN,51,HAEAE,Birmingham,UNP,50.9666725,-102.9338326,,,SK175033,Q4916579,cgn_direct
Duff,SASKATCHEWAN,51,HAGXA,Duff,VILG,50.8732889,-103.0917611,,,SK175036,Q2002666,cgn_direct
Edenwold,SASKATCHEWAN,51,HAHSU,Edenwold,VILG,50.6337317,-104.2527275,,,SK176008,Q5337033,cgn_direct
Broomhill,MANITOBA,51,GADSV,Broomhill,UNP,49.3930560,-101.0875000,,,,,cgn_direct
Alida,MANITOBA,51,HABLN,Alida,VILG,49.3890056,-101.8742889,0.0,0.0,,,cgn_direct
Westerham,SASKATCHEWAN,51,HAMSG,Westerham,UNP,50.9145010,-109.6623190,0.0,0.0,,,cgn_direct
Carbon,ALBERTA,51,IARMM,Carbon,VILG,51.4858333,-113.1505556,51.4833,-113.15,AB194034,Q5037887,cgn_direct
Duchess,ALBERTA,51,IABPV,Duchess,VILG,50.7311110,-111.9063888,,,AB191025,Q2568445,cgn_direct
Watts,ALBERTA,51,IAPAG,Watts,UNP,51.6619445,-112.0900000,,,,,cgn_direct
St. Paul de Metis,ALBERTA,51,IAGIL,St. Paul,,53.9927777,-111.2961111,,,AB201025,Q1745995,agent_medium
Rossburn,MANITOBA,50,GAXOC,Rossburn,TOWN,50.6691670,-100.8111100,50.6692,-100.8111,MB168005,Q1661166,cgn_direct
Disley,SASKATCHEWAN,50,HAGAL,Disley,VILG,50.6409472,-105.0493444,,,SK176042,Q1999978,cgn_direct
Lampman,SASKATCHEWAN,50,HAPNL,Lampman,TOWN,49.3827722,-102.7578306,49.3833,-102.75,SK171038,Q1915005,cgn_direct
Grandora,SASKATCHEWAN,50,HATVN,Grandora,UNP,52.1103680,-106.9907840,,,,,cgn_direct
Brookdale,MANITOBA,50,GADSM,Brookdale,UNP,50.0480560,-99.5636110,0.0,0.0,,,cgn_direct
Purves,MANITOBA,50,GAWKD,Purves,UNP,49.1252780,-98.7325000,,,,,cgn_direct
Cloan,SASKATCHEWAN,50,HADBT,Cloan,UNP,52.6079950,-108.7764620,,,,,cgn_direct
Colgate,SASKATCHEWAN,50,HAPNH,Colgate,UNP,49.3944731,-103.8949682,,,SK172031,Q14874936,cgn_direct
Hardy,SASKATCHEWAN,50,HAEMJ,Hardy,UNP,49.4810930,-104.7189260,,,ON135017,Q115261691,cgn_direct
Osler,SASKATCHEWAN,50,HAMMU,Osler,TOWN,52.3668300,-106.5322100,,,SK185047,Q1916342,cgn_direct
Vawn,SASKATCHEWAN,50,HAIUB,Vawn,HAM,53.1065560,-108.6669330,,,SK187032,Q7917531,cgn_direct
Crichton,SASKATCHEWAN,50,HAPFA,Crichton,UNP,49.7290000,-107.8793620,,,,,cgn_direct
Brancepeth,SASKATCHEWAN,50,HAKJL,Brancepeth,HAM,53.0018150,-105.2689560,,,,,cgn_direct
MacNutt,MANITOBA,50,HAKUT,MacNutt,VILG,51.0842628,-101.6035944,51.0833,-101.6,SK175045,Q2085963,cgn_direct
Pinkham,SASKATCHEWAN,50,HAHNH,Pinkham,UNP,51.4280510,-109.4565850,,,,,cgn_direct
Clyde,ALBERTA,50,IANDZ,Clyde,VILG,54.1519444,-113.6358333,,,AB202030,Q5136831,cgn_direct
Blumenhof,SASKATCHEWAN,50,HAEDH,Blumenhof,UNP,50.0166987,-107.7006702,,,,,cgn_direct
Austin,MANITOBA,49,GABIG,Austin,UNP,49.9502780,-98.9361110,49.9503,-98.9361,,,cgn_direct
Ralph,SASKATCHEWAN,49,HAIJH,Ralph,UNP,49.5747330,-103.6896210,,,ON142027,,cgn_direct
Cheadle,ALBERTA,49,IALQG,Cheadle,UNP,51.0144445,-113.5405556,,,,,cgn_direct
Lethbridge,ALBERTA,49,IADGP,Lethbridge,CITY,49.6936111,-112.8419444,49.7,-112.8167,AB190018,Q270887,cgn_direct
Cardale,MANITOBA,49,GAEJE,Cardale,UNP,50.2366670,-100.3211100,,,,,cgn_direct
Durban,MANITOBA,49,GAHCO,Durban,UNP,51.9291670,-101.4405600,,,,,cgn_direct
Makinak,MANITOBA,49,GAPWT,Makinak,UNP,50.9827780,-99.6647220,,,,,cgn_direct
St. Jean,MANITOBA,49,GAXYD,St. Jean Baptiste,,49.2655560,-97.3397220,,,QC075008,Q3462540,agent_high
Bulyea,SASKATCHEWAN,49,HAKPX,Bulyea,VILG,50.9864780,-104.8681850,50.9833,-104.8667,SK176037,Q1999427,cgn_direct
Craven,SASKATCHEWAN,49,HAPEY,Craven,VILG,50.7081600,-104.8095020,50.7,-104.8,SK176039,Q1999813,cgn_direct
Clair,SASKATCHEWAN,49,HACZP,Clair,UNP,52.0174010,-104.0723780,47.2656,-68.6172,NB028001,Q3365798,cgn_direct
Regent,MANITOBA,49,GAWWA,Regent,UNP,49.3408330,-100.3119400,,,,,cgn_direct
Leroy,SASKATCHEWAN,49,HAGEU,Leroy,TOWN,52.0029083,-104.7388222,,,,,cgn_direct
Laporte,SASKATCHEWAN,49,HAFJT,Laporte,HAM,51.2145526,-109.5103943,,,,,cgn_direct
Turtleford,SASKATCHEWAN,49,HANWQ,Turtleford,TOWN,53.3878806,-108.9593833,53.3833,-108.95,SK187031,Q1917360,cgn_direct
Peterson,SASKATCHEWAN,49,HATTQ,Peterson,UNP,52.1903460,-105.6935280,,,,,cgn_direct
Smiley,SASKATCHEWAN,49,HAIWC,Smiley,VILG,51.6341730,-109.4704840,51.6333,-109.4833,SK183053,Q2204565,cgn_direct
Benalto,ALBERTA,49,IAEDU,Benalto,UNP,52.3077777,-114.2783333,52.3,-114.2833,,,cgn_direct
Lanfine,ALBERTA,49,IACHL,Lanfine,UNP,51.3811111,-110.6891667,,,,,cgn_direct
